Date,Sales,Year,Month,Time_Index
2023-01-01,14518.055,2023,1,0
2023-02-01,4519.892,2023,2,1
2023-03-01,56933.909,2023,3,2
2023-04-01,28295.345,2023,4,3
2023-05-01,26319.767,2023,5,4
2023-06-01,34669.4796,2023,6,5
2023-07-01,33946.393,2023,7,6
2023-08-01,28918.3385,2023,8,7
2023-09-01,82670.4288,2023,9,8
2023-10-01,32413.339,2023,10,9
2023-11-01,78826.9567,2023,11,10
2023-12-01,72008.3085,2023,12,11
2024-01-01,18461.9156,2024,1,12
2024-02-01,11951.411,2024,2,13
2024-03-01,39978.628,2024,3,14
2024-04-01,34195.2085,2024,4,15
2024-05-01,30246.9465,2024,5,16
2024-06-01,24797.292,2024,6,17
2024-07-01,28765.325,2024,7,18
2024-08-01,37057.0042,2024,8,19
2024-09-01,64627.046,2024,9,20
2024-10-01,31407.1335,2024,10,21
2024-11-01,75972.5635,2024,11,22
2024-12-01,75532.5572,2024,12,23
2025-01-01,18830.331000000002,2025,1,24
2025-02-01,22978.815000000002,2025,2,25
2025-03-01,53031.069,2025,3,26
2025-04-01,38829.159,2025,4,27
2025-05-01,57042.837999999996,2025,5,28
2025-06-01,40937.148,2025,6,29
2025-07-01,40300.499,2025,7,30
2025-08-01,31716.814300000002,2025,8,31
2025-09-01,73521.6629,2025,9,32
2025-10-01,59831.001,2025,10,33
2025-11-01,79411.9658,2025,11,34
2025-12-01,97502.277,2025,12,35
2026-01-01,44259.214,2026,1,36
2026-02-01,20301.1334,2026,2,37
2026-03-01,60728.4808,2026,3,38
2026-04-01,36779.0361,2026,4,39
2026-05-01,45155.4822,2026,5,40
2026-06-01,53056.0777,2026,6,41
2026-07-01,45989.496,2026,7,42
2026-08-01,64129.758,2026,8,43
2026-09-01,88064.532,2026,9,44
2026-10-01,83474.7832,2026,10,45
2026-11-01,118454.505,2026,11,46
2026-12-01,85175.0328,2026,12,47
